Targa,Nome,Cognome,Age,Marca,NumCilindri,Cv,Prezzo,Data_Immatricolazione,Data_Acquisto,Data_Assicurazione
CV122GU,"Esuperanzia","Rizzo",21,Volvo,four,160,"19045",2005/06/16,2006/10/02,2014/12/27
CU072DR,"Dumas","Costa",40,Mazda,two,135,"15645",2008/10/21,2011/06/30,2011/06/30
AU478BZ,"Argimiro","Monti",79,Honda,four,101,"12945",1997/09/29,2002/04/12,2012/07/03
CB664WM,"Gerardino","Poli",57,Mazda,four,68,"6795",1996/09/08,2003/04/19,2007/08/02
CS053WH,"Manfredo","Parisi",22,Volkswagen,four,85,"8495",1996/06/15,2003/12/16,2010/07/20
AM271TX,"Comita","Ferretti",50,Porsche,four,143,"22018",1993/01/25,1994/08/14,2004/09/09
DQ387CU,"Afra","Ruggeri",48,Toyota,four,62,"6338",2006/11/29,2011/11/27,2016/01/09
BZ173IQ,"Marzilio","Villa",76,Honda,four,60,"5399",1997/11/19,2008/08/05,2012/09/21
CE751XR,"Artemidio","Donati",76,Honda,four,86,"10295",2000/01/13,2003/11/30,2010/04/12
AW387BL,"Edra","Baldi",50,Mazda,four,84,"8495",2009/09/08,2015/07/31,2016/02/17
CV600BM,"Reno","Calabrese",41,Honda,four,76,"6855",2001/07/02,2008/08/03,2013/03/11
AK486OG,"Ciretta","Giorgi",22,Subaru,four,94,"9960",2000/01/01,2010/12/20,2013/09/13
AQ462OG,"Floro","Vitali",27,Plymouth,four,68,"7609",2001/07/14,2011/08/22,2014/09/02
AP260MX,"Riziano","Rossi",84,Toyota,four,62,"5348",2012/01/28,2012/08/27,2013/03/01
CC118MZ,"Luigino","Pellegrino",19,Volkswagen,four,100,"9995",2013/05/09,2015/10/17,2016/02/28
ED233QN,"Vilma","Castelli",66,Mercedes-benz,five,123,"31600",1996/02/06,2014/03/24,2014/11/16
CD384QI,"Caffieri","Calabrese",82,Jaguar,six,176,"32250",1994/05/25,1998/08/15,2015/05/31
BZ683KT,"Florindo","Pellegrino",76,Mercedes-benz,five,123,"25552",1991/09/15,2006/06/27,2015/07/05
AJ107PV,"Fiori","Ferri",42,Bmw,four,101,"16430",2006/07/08,2014/11/06,2014/12/12
BO475AJ,"Fides","Mariani",38,Subaru,four,94,"9960",2007/03/21,2009/12/31,2013/07/04
BZ263XE,"Ilaro","Bianco",52,Audi,four,102,"13950",1988/12/15,2014/01/10,2015/05/03
EL200FZ,"Saverino","Poli",59,Mitsubishi,four,68,"6189",1998/01/10,1998/07/03,2002/06/30
BV304RV,"Midio","Calabrese",87,Peugot,four,97,"16630",1991/03/31,2011/04/13,2015/08/26
CV724MB,"Bastiano","Fontana",70,Dodge,four,68,"6229",1989/01/22,2000/11/17,2005/05/10
DA664RH,"Valerio","Brambilla",76,Nissan,four,69,"7499",1999/07/23,2002/04/24,2013/06/27
BZ181XW,"Canciano","Montanari",57,Toyota,four,116,"17669",2011/06/14,2014/07/04,2015/06/11
BI657SA,"Leonarda","Amato",70,Peugot,four,95,"17950",1995/11/22,2002/04/10,2013/01/21
CS778AX,"Osita","Cattaneo",58,Porsche,eight,288,"16500",2011/09/25,2012/04/28,2015/12/28
DO831CZ,"Illario","Arena",67,Dodge,four,68,"6377",1990/06/11,2000/05/27,2001/06/15
BN778DC,"Appia","Albanese",35,Dodge,four,68,"6229",1999/02/20,2015/05/04,2015/11/18
CI465XW,"Telesforo","Carbone",70,Mazda,four,84,"10245",1999/04/13,2006/03/10,2009/03/05
AE501AA,"Osmilda","Longo",75,Subaru,four,82,"7463",2013/01/06,2014/11/03,2016/01/12
DA506GR,"Vando","Baldi",67,Bmw,six,121,"24565",1990/08/08,1994/03/19,2009/11/20
BS483ID,"Ronaldo","Messina",23,Nissan,six,152,"13499",1993/06/26,2011/01/12,2013/12/18
DU420IX,"Lisetta","Testa",71,Bmw,six,121,"24565",2002/04/06,2004/04/28,2012/02/05
BH214XM,"Dione","Giuliani",47,Toyota,four,92,"9988",2008/04/17,2010/04/15,2012/09/22
EX630FI,"Maffio","Fumagalli",36,Isuzu,four,90,"11048",2000/07/12,2004/10/17,2005/08/31
DU723JM,"Nelso","Marino",41,Dodge,four,102,"7957",1990/09/05,2004/10/09,2015/06/18
CT754NF,"Pacifico","Pagano",89,Peugot,four,95,"17950",1991/08/25,2002/09/10,2010/11/25
AD166PA,"Manfredi","Sala",53,Chevrolet,four,70,"6575",1995/07/24,1997/04/23,2012/02/14
AV345MF,"Fileno","Rizzo",56,Mitsubishi,four,145,"12629",2008/01/03,2014/11/23,2016/04/09
BS868RT,"Erenia","Lorusso",86,Porsche,six,207,"32528",2003/07/04,2015/06/18,2015/06/27
BD807OR,"Olivenzo","Franco",20,Toyota,four,62,"6918",2008/10/10,2013/06/24,2014/09/24
CJ203EY,"Emmanuela","Lombardo",44,Toyota,four,62,"6918",1999/01/02,2001/05/18,2009/10/17
DA087IZ,"Maceo","Caruso",47,Toyota,four,62,"5348",1995/04/24,2011/11/14,2015/07/26
DC407LE,"Flori","Battaglia",82,Nissan,four,69,"7299",1995/04/16,2000/12/19,2010/12/04
EK728MC,"Leonzia","Marino",66,Honda,four,76,"6529",2000/09/13,2008/07/02,2015/02/15
AC714WR,"Girolamo","Bernardi",53,Porsche,four,143,"22018",2006/03/13,2009/12/26,2011/01/18
DE142TK,"Fiorellino","Costantini",58,Mazda,four,84,"10245",2010/11/20,2012/08/08,2012/11/07
EF720PE,"Femide","Ferrara",58,Subaru,four,73,"7603",1998/09/07,2012/05/15,2015/03/23
AN181TR,"Federico","Carbone",59,Peugot,four,95,"15580",1998/07/04,2003/11/26,2004/09/23
BB673TT,"Efraimo","Ferri",18,Toyota,four,62,"6338",2010/07/03,2015/07/11,2015/11/29
AO438IE,"Consolato","Pinna",34,Volvo,four,114,"12940",1989/04/27,1994/01/11,1998/10/28
EG757BU,"Aldina","Bruno",24,Nissan,six,152,"13499",2006/11/10,2012/08/03,2013/03/29
AS532ZA,"Provvidenza","Catalano",80,Mercedes-benz,five,123,"31600",2004/05/13,2014/10/02,2015/06/15
BZ614XN,"Alboino","Bianchi",33,Volvo,four,114,"13415",2002/11/30,2008/09/12,2013/02/05
BA614HC,"Colturo","Lombardi",78,Mazda,four,72,"18344",1995/12/21,2005/09/18,2009/12/05
BX365UP,"Amodio","Martini",71,Volkswagen,four,52,"7775",2012/02/12,2013/06/06,2013/09/07
BJ053WP,"Coronato","Rossi",81,Plymouth,four,88,"8921",1998/04/08,2014/09/19,2016/03/24
BY717XA,"Nada","Ricciardi",83,Honda,four,76,"7129",1994/06/22,2001/03/13,2011/12/25
CE617LG,"Elida","Villa",66,Peugot,four,95,"16695",2001/11/11,2008/11/25,2011/12/22
CR088MM,"Eudosia","Moro",43,Mercedes-benz,five,123,"25552",1996/05/21,2006/07/29,2007/04/05
BU576DT,"Emerica","Bruni",67,Dodge,four,102,"7957",2005/06/27,2015/05/01,2016/02/21
AK812JO,"Irlanda","Sala",66,Dodge,four,68,"6377",2000/11/27,2012/07/26,2014/08/03
CU603HM,"Saladino","Russo",50,Nissan,six,160,"17199",2001/10/24,2002/09/19,2013/11/03
EI551QQ,"Smeralda","Rizzo",20,Honda,four,76,"6529",1998/11/24,2006/04/15,2015/12/13
AW805SP,"Dafno","De Rosa",43,Dodge,four,88,"8921",2010/06/19,2013/09/07,2015/01/24
AL375RG,"Valente","Franco",18,Saab,four,110,"12170",1999/09/15,2002/11/09,2005/03/30
BN782VN,"Endrio","Benedetti",23,Bmw,six,182,"36880",2002/11/20,2014/08/12,2015/08/05
BV378MQ,"Giangaleazzo","Baldi",32,Toyota,four,62,"6338",2008/05/09,2010/09/16,2014/04/26
BP080AR,"Lavinio","Fontana",85,Jaguar,six,176,"32250",2005/11/29,2012/06/07,2013/07/05
AZ358SD,"Eustachia","Carbone",89,Peugot,four,97,"12440",1988/12/22,1992/02/24,2004/11/17
EY126XE,"Arcangela","Valentini",83,Porsche,six,207,"34028",1991/10/14,1994/06/24,2014/05/31
CT188GI,"Ubaldo","Bruno",32,Mitsubishi,four,116,"9279",2000/10/08,2016/04/16,2016/04/17
BV187NF,"Fenella","Parisi",29,Nissan,four,97,"8949",1999/08/16,2003/04/01,2011/07/10
EB733IH,"Lice","Gargiulo",19,Mitsubishi,four,88,"6989",1994/02/12,2000/01/03,2012/06/03
CJ533QN,"Achilleo","Sanna",63,Toyota,six,156,"15750",2012/02/17,2012/08/08,2014/06/17
EP308PO,"Ermello","Fumagalli",21,Renault,four,68,"9895",1999/11/24,2012/04/04,2013/11/11
AX336ZD,"Fenella","Marra",89,Chevrolet,three,48,"5151",1996/05/24,1999/08/21,2004/10/06
ET266MG,"Oscaro","Romeo",81,Mitsubishi,four,68,"6189",1993/04/11,2012/10/05,2016/02/02
EX835IW,"Uliviero","Vitale",71,Toyota,four,73,"10698",1995/08/28,2011/11/04,2015/05/19
CV204NF,"Aldorino","Amato",55,Volvo,four,114,"16845",2008/12/08,2015/09/27,2015/11/10
EY278YS,"Rienzo","Franco",34,Volvo,four,114,"15985",1991/05/23,2008/01/28,2011/09/29
BC555UG,"Benizio","Rinaldi",18,Chevrolet,four,70,"6575",1991/08/17,1997/03/04,2015/07/14
BD366RZ,"Teresa","Benedetti",40,Porsche,four,143,"22018",1999/06/07,2004/05/01,2005/08/24
EI050MW,"Giandamiano","Grimaldi",75,Honda,four,86,"7895",2000/01/18,2000/12/30,2007/07/29
AH260SN,"Opimio","Santoro",76,Audi,five,140,"23875",1998/08/19,2012/05/01,2013/07/01
AZ045GM,"Napoli","Arena",70,Nissan,six,152,"13499",2005/09/08,2008/05/16,2009/12/01
AF582CQ,"Aladino","Orlando",18,Subaru,four,111,"11694",2000/02/28,2000/05/11,2007/09/01
EE784LT,"Ezelindo","Rossi",35,Nissan,six,152,"14399",1989/01/26,1998/07/04,2001/06/16
BN822BH,"Giano","Gentile",80,Peugot,four,97,"12440",1999/11/19,2015/02/02,2015/08/21
DJ317HH,"Simeona","Palmieri",61,Bmw,six,182,"36880",2000/01/19,2002/11/23,2013/07/26
BR005XK,"Erlinda","Galli",58,Volvo,six,106,"22470",2002/05/12,2006/06/06,2011/12/25
AY727HI,"Tulliano","De Santis",88,Nissan,six,152,"14399",1992/06/27,2000/09/09,2014/12/09
EI843TI,"Fioridea","Martino",58,Mitsubishi,four,68,"6669",2007/01/05,2015/12/11,2016/03/15
BJ463CO,"Dosolino","Villani",26,Toyota,four,62,"8778",1993/03/15,2004/03/29,2009/09/15
BT632UV,"Giannangela","Ricci",57,Subaru,four,73,"7053",1995/08/30,2009/04/02,2014/10/14
AK721WH,"Crescentina","Bruno",26,Mazda,four,84,"8495",2009/10/20,2014/11/22,2016/02/29
EK556RD,"Fernero","Castelli",25,Alfa-romero,four,111,"16500",2011/09/11,2016/01/17,2016/01/25
DX083GR,"Cristoforo","Gatti",82,Honda,four,60,"5399",1995/05/02,1998/02/04,2004/01/24
DJ173JG,"Lando","Barbieri",63,Toyota,six,161,"16558",2003/08/01,2005/09/10,2008/04/06
AE368SP,"Oddina","Calabrese",86,Toyota,four,70,"6938",1992/08/21,2006/07/01,2009/09/01
BW331MW,"Oneda","Esposito",45,Volvo,four,114,"15985",2010/05/14,2012/11/06,2013/03/10
EW562IX,"Saulo","Ferretti",48,Peugot,four,97,"16630",1994/10/20,2015/11/04,2016/02/09
BI461PK,"Leonia","Catalano",54,Nissan,six,200,"19699",1998/04/12,2006/01/27,2014/11/27
DW305VL,"Loletta","Piras",86,Toyota,four,62,"8778",2003/02/18,2009/05/05,2012/05/23
EO281WE,"Chantal","Villani",80,Subaru,four,94,"9960",2005/10/07,2013/04/20,2015/08/25
CE273ZT,"Oredano","Silvestri",44,Volvo,four,160,"19045",2006/08/12,2014/11/14,2015/09/26
CF428NE,"Laurenzo","Sanna",75,Isuzu,four,78,"6785",2009/11/15,2015/03/31,2016/03/03
CD866XY,"Cleto","Perrone",51,Audi,five,115,"17450",2008/10/31,2013/10/10,2014/02/25
DL401PD,"Wilna","Valentini",38,Volvo,four,162,"18420",2010/12/21,2016/04/18,2016/04/18
DD605UY,"Mercuria","Santini",48,Audi,five,110,"17710",2003/11/21,2010/07/08,2012/06/02
BZ412DE,"Elviano","Romeo",43,Mazda,four,68,"6695",2012/10/04,2012/12/18,2013/03/03
CO787FK,"Valtero","Franco",41,Nissan,six,160,"18399",2011/01/07,2014/12/12,2015/05/11
DR154AG,"Porzia","Catalano",19,Audi,four,102,"13950",2001/09/28,2011/04/27,2016/02/13
AE447YB,"Giarrico","Castelli",64,Dodge,four,102,"7957",1999/10/29,2003/05/19,2004/10/25
CA224UQ,"Gillia","Coppola",51,Mitsubishi,four,88,"6989",2010/12/01,2012/06/14,2014/11/27
EV213RS,"Gerolama","Testa",82,Nissan,six,160,"17199",1990/03/26,2008/01/19,2013/10/06
BO228MI,"Marsina","Parisi",30,Dodge,four,88,"8921",1989/08/03,2012/04/14,2015/03/17
DV654DF,"Vivella","Pellegrini",72,Bmw,six,182,"36880",1998/10/04,2015/06/03,2015/09/06
DU076ZK,"Romes","Pagano",77,Honda,four,86,"8845",2006/07/22,2013/03/18,2014/02/16
EY731ZN,"Fontino","Valente",28,Mercedes-benz,five,123,"28176",2003/05/31,2007/10/29,2009/04/18
BH255NP,"Eldino","Pagano",50,Mazda,four,84,"10595",2012/11/19,2016/03/24,2016/04/09
EY320HT,"Gentilina","Palumbo",43,Honda,four,101,"12945",2006/02/17,2014/02/17,2016/03/21
DU025IW,"Ottimio","Santini",61,Chevrolet,three,48,"5151",2008/11/06,2016/03/09,2016/03/26
CB638MO,"Baldovino","Marino",36,Toyota,four,70,"8238",1990/04/15,2009/04/19,2015/09/16
DT650HK,"Daria","Fabbri",79,Peugot,four,97,"12440",2012/03/24,2013/07/26,2014/08/04
DK374MY,"Vica","Milani",68,Mercedes-benz,five,123,"28176",1995/06/13,1997/06/27,2001/03/22
DT625FD,"Valentiniano","Milani",79,Chevrolet,three,48,"5151",2005/09/04,2009/11/02,2012/07/23
CF278BN,"Fisia","Coppola",63,Nissan,four,69,"6849",1991/12/20,1992/02/16,1996/07/08
AM000CO,"Deodata","Santini",66,Toyota,four,116,"11549",2013/01/06,2014/10/24,2015/02/15
CN577SP,"Alfieri","Palmieri",26,Mitsubishi,four,116,"9279",2001/07/26,2005/07/26,2005/12/19
BP035FZ,"Innocenzio","Serra",50,Toyota,four,73,"10698",2001/03/19,2007/05/03,2011/04/14
DT576RB,"Artenia","Caruso",54,Mazda,four,84,"8495",2009/01/30,2009/11/20,2014/08/30
CN443EQ,"Giannangelo","Baldi",82,Dodge,four,68,"7609",1990/06/28,2004/04/26,2005/01/16
ER058DX,"Oderzo","Rossetti",33,Mitsubishi,four,145,"14489",1990/10/16,2003/09/21,2006/11/05
EN867AH,"Nono","De Simone",75,Mazda,two,101,"11845",1997/06/03,2015/03/14,2015/06/11
DN203BF,"Ermenegilda","Moro",53,Audi,four,102,"13950",2005/04/08,2006/02/18,2006/04/14
DU831LG,"Cleonilde","Bruni",67,Honda,four,86,"8845",1997/12/18,2003/12/13,2006/11/14
BL202CJ,"Rinardo","De Simone",35,Jaguar,six,176,"35550",2001/07/30,2002/09/19,2004/10/10
EA883DP,"Risvelio","Cattaneo",23,Subaru,four,94,"10198",2013/02/17,2014/08/12,2014/09/24
EY227TJ,"Florangela","Romano",87,Nissan,four,69,"7999",2011/08/30,2013/07/10,2014/05/25
CA623OX,"Claudia","Vitale",52,Mercedes-benz,eight,155,"34184",1997/08/01,2012/08/30,2012/10/27
CL314XB,"Tristana","Ricciardi",55,Volvo,four,114,"12940",2000/01/28,2002/04/21,2006/01/07
CB422VK,"Turi","Ferri",67,Alfa-romero,six,154,"16500",1989/03/26,1995/04/09,2007/09/28
DR187KG,"Orles","Antonelli",21,Honda,four,86,"8845",2005/07/11,2010/08/09,2012/09/28
ED881EL,"Reginetta","Ceccarelli",62,Toyota,four,70,"8358",2010/08/26,2013/11/04,2015/07/09
EJ511XT,"Torquata","Vitali",73,Dodge,four,68,"6692",1994/09/27,2012/10/21,2015/09/15
CC633LA,"Aspasia","Ferraro",28,Mitsubishi,four,145,"12629",1992/10/03,1994/10/12,1996/09/23
BT268NA,"Effrem","Marchetti",67,Audi,five,110,"17710",2011/02/06,2015/02/05,2015/08/31
DF823BF,"Alemanno","Piazza",74,Nissan,six,152,"14399",1998/04/02,2011/03/19,2012/12/10
CE458VV,"Adelinda","Ruggiero",53,Nissan,six,160,"17199",2009/02/19,2011/11/25,2012/07/20
EB528UY,"Erasmo","Villani",45,Toyota,four,62,"6338",1997/07/05,2000/04/12,2013/11/11
AF205WH,"Mirta","Pinna",31,Saab,four,160,"18620",1999/08/29,2009/05/27,2014/08/03
DP275QQ,"Valiero","Piras",32,Peugot,four,95,"13860",2000/07/19,2004/03/31,2010/02/22
AA761WD,"Maghinardo","Cavallo",86,Mazda,two,135,"15645",1996/06/06,2006/07/05,2008/06/02
CP728TC,"Elmina","Conti",75,Bmw,six,121,"24565",1993/06/23,2009/01/23,2015/12/03
EE173LZ,"Rosita","De Rosa",73,Saab,four,160,"18620",2000/08/09,2015/10/15,2015/10/29
EC811SX,"Edoardo","Marini",30,Dodge,four,68,"6229",2002/08/27,2011/06/20,2013/09/11
EO462OZ,"Drusolina","Gatti",46,Toyota,four,70,"6938",2008/09/03,2013/01/28,2013/03/08
AV016AW,"Brunera","Barone",66,Audi,five,110,"18920",1989/04/24,1989/11/30,2014/09/16
CY725QL,"Ambro","Piccolo",57,Peugot,four,95,"13860",2003/07/31,2010/11/15,2013/12/15
EJ086GI,"Cireneo","Pace",44,Bmw,four,101,"16925",1992/12/08,2013/01/16,2016/01/12
AE155YK,"Agnesina","Lombardo",68,Toyota,four,70,"6938",1999/06/18,2009/05/23,2015/09/15
BN102CN,"Fabrizo","De Angelis",74,Jaguar,twelve,262,"36000",1999/08/29,2009/03/22,2010/02/10
EW612YW,"Giarrico","Santini",25,Mazda,two,101,"10945",2001/10/09,2012/02/27,2014/07/29
AH406CL,"Quintilla","Gatti",43,Toyota,four,92,"8948",2000/07/13,2007/03/01,2013/06/19
CD202PW,"Regis","Martini",34,Nissan,six,160,"18399",2007/09/21,2013/01/10,2013/11/24
BR637HC,"Gorino","Amato",30,Honda,four,58,"6479",2010/11/07,2013/05/13,2013/08/16
EY764QP,"Protaso","Messina",70,Honda,four,86,"9095",2013/08/02,2013/12/11,2015/06/26
CG310FM,"Dione","Caputo",64,Saab,four,110,"11850",1994/09/17,1998/04/30,2002/03/14
EF208DP,"Fridolino","Sala",23,Toyota,four,92,"8948",1989/03/03,1999/10/12,2006/04/22
CL208OJ,"Lodovica","Ceccarelli",81,Peugot,four,95,"17075",1998/12/29,2008/03/26,2010/12/08
CK455XS,"Vea","Baldi",41,Volkswagen,five,110,"13295",1996/01/01,2008/01/06,2010/06/21
AJ112DK,"Fabrizio","Orlando",21,Mitsubishi,four,145,"12629",2011/03/28,2013/03/23,2015/09/09
AS872LL,"Raniere","Bernardi",34,Isuzu,four,70,"16500",1992/08/13,2009/04/19,2012/12/21
DY343HF,"Erasmo","Barbieri",24,Audi,five,110,"17710",1995/10/22,2007/05/02,2010/04/28
DK435FZ,"Romina","Amato",78,Bmw,six,182,"36880",2002/08/31,2003/10/03,2008/11/01
DN710MZ,"Ariberto","Longo",47,Nissan,six,200,"19699",1992/09/15,2014/08/10,2015/08/26
ER320ED,"Stellina","Messina",49,Mazda,two,135,"15645",1989/04/26,2010/08/27,2016/01/08
BM547LZ,"Orientale","Costantini",26,Toyota,four,62,"5348",1996/01/17,2007/06/21,2015/10/23
BL551LR,"Dazio","Battaglia",67,Porsche,eight,288,"16500",1994/04/12,2014/12/08,2016/03/29
CE482LW,"Adermo","Basile",33,Renault,four,68,"9295",2004/03/04,2006/03/22,2008/07/13
EP353YK,"Fiorilda","Rizzi",74,Nissan,six,200,"19699",2003/06/28,2014/02/09,2015/11/03
EC422LH,"Onorio","Fontana",46,Porsche,eight,288,"16500",1994/02/08,2005/01/02,2012/02/05
AL452VT,"Natalizio","Fabbri",50,Mitsubishi,four,145,"14489",1999/12/26,2010/03/03,2011/06/21
DO087BE,"Oreglia","Vitali",22,Mitsubishi,four,145,"14869",1991/02/25,2001/11/22,2011/09/18
CX176UV,"Fidalmo","Amato",68,Porsche,six,207,"32528",2001/06/27,2015/03/27,2015/04/08
DM587OZ,"Gillio","Farina",44,Peugot,four,95,"17950",2005/01/26,2011/02/14,2016/04/03
DY822QC,"Glisente","Morelli",52,Bmw,six,121,"21105",1993/11/14,1998/08/20,1998/10/27
CC732PY,"Ademina","Sartori",36,Volvo,four,114,"16515",1989/12/07,1994/10/21,2011/10/23
AR702PG,"Primarosa","Romeo",79,Mitsubishi,four,88,"8189",1999/05/14,2008/09/30,2015/01/27
CG875CS,"Alfero","Mazza",78,Nissan,four,69,"5499",2011/12/04,2014/07/19,2015/09/04
CE702AV,"Fellina","Rossi",27,Peugot,four,95,"16900",2003/09/04,2007/10/24,2013/01/04
DH372YU,"Sabatina","Olivieri",82,Toyota,four,92,"8948",2011/10/15,2015/08/10,2016/03/17
CV678DM,"Pisano","Marra",65,Volkswagen,four,100,"9995",1996/01/24,1999/02/24,2006/08/01
EO651SP,"Benvenuto","Cavallo",87,Plymouth,four,145,"12764",2001/10/23,2005/12/07,2010/12/05
BQ071TF,"Cherubina","Silvestri",31,Plymouth,four,68,"6692",1993/11/30,2001/03/23,2009/10/16
AM771ZL,"Mamante","Valentini",61,Nissan,four,69,"8249",1993/03/19,1999/11/26,2009/12/01
CS787DD,"Cornelia","De Simone",37,Nissan,six,160,"18399",2005/08/14,2015/06/16,2015/11/13
CW758HW,"Everardo","Giorgi",88,Peugot,four,95,"13200",2004/03/30,2004/03/31,2014/03/11
DD270EY,"Contaldo","Testa",23,Nissan,four,69,"5499",2001/01/23,2001/02/28,2003/06/26
CE086BH,"Nicodema","Bernardi",82,Dodge,four,68,"6377",2003/03/28,2005/06/26,2006/10/08
AA047KM,"Liciano","Marini",58,Toyota,four,62,"6338",1997/01/07,2014/03/12,2015/11/27
CT737TJ,"Edipo","Martini",79,Volkswagen,four,68,"9495",2003/07/04,2010/10/30,2014/08/28
DD681HA,"Atena","Ceccarelli",89,Toyota,four,62,"6338",1994/01/12,2002/07/08,2009/11/23
DK344NU,"Dazeglio","Fontana",18,Audi,five,110,"18920",2006/04/16,2015/11/07,2015/11/23
BV001LQ,"Orso","Giordano",34,Toyota,four,116,"9639",2000/10/25,2005/12/07,2014/02/23
CQ154EJ,"Gentilino","Gentile",32,Toyota,four,73,"10698",2007/07/03,2010/03/27,2011/08/04
AK085QY,"Allegrino","Cattaneo",30,Volvo,four,114,"22625",1993/08/10,2002/03/09,2003/11/25
DP222FL,"Alidora","Martinelli",42,Alfa-romero,four,111,"16500",1996/08/03,2014/04/17,2014/11/23
CF342ZH,"Rometta","Pastore",64,Mazda,four,68,"6795",2006/04/27,2015/04/15,2015/12/25
CS530AV,"Relio","Bianchi",51,Honda,four,86,"7895",2009/12/14,2011/08/02,2014/06/09
DP147BT,"Vilfrida","Ceccarelli",28,Chevrolet,four,70,"6295",2002/11/01,2004/12/06,2015/12/22
CW650GO,"Aminto","Conti",70,Mitsubishi,four,68,"5389",1994/10/22,2012/09/22,2013/05/07
DH855EN,"Liberatina","Bianchi",73,Volkswagen,four,52,"7775",2007/03/05,2009/12/19,2011/03/28
BS761KF,"Fontana","Valentini",62,Mazda,four,84,"11245",2011/12/27,2014/02/28,2015/11/14
DP107OB,"Orisse","Aiello",51,Toyota,six,161,"15998",2008/12/16,2016/01/14,2016/03/26
DV767RY,"Walter","Albanese",71,Toyota,four,92,"11248",1994/09/02,2002/02/14,2003/03/22
BR177ED,"Vea","Baldi",30,Volvo,six,106,"22470",1996/02/02,2014/01/22,2014/02/02
CR288PR,"Fredina","Giorgi",83,Volvo,four,162,"18950",1994/01/19,2000/07/16,2003/02/02
EY801VW,"Orfella","Ferretti",62,Porsche,six,207,"32528",2000/04/23,2005/10/23,2012/01/19
CJ061FO,"Folco","Silvestri",76,Dodge,four,68,"7609",2009/05/19,2011/02/05,2015/09/27
ES268OT,"Conitto","Moretti",62,Toyota,four,62,"6488",2008/04/28,2008/10/17,2015/12/31
BJ502GP,"Ribes","Bellini",86,Volvo,four,114,"16515",1989/04/16,2006/11/26,2007/01/15
AX158ZE,"Ferrero","Aiello",57,Honda,four,86,"10295",2001/07/26,2013/05/31,2015/11/25
DA760BJ,"Amilcara","Aiello",31,Toyota,four,116,"8449",2003/04/12,2008/11/05,2014/11/08
EO828HG,"Arcangelina","Riva",28,Dodge,four,68,"6692",1990/02/26,2010/06/27,2014/02/04
EP458PK,"Babila","Napolitano",80,Peugot,four,95,"16900",1991/06/13,2013/01/05,2013/11/13
DD074JG,"Igeo","Santoro",86,Honda,four,100,"10345",2004/07/18,2014/08/04,2015/08/17
DQ864SO,"Fabbrina","Cavallo",87,Toyota,four,70,"7198",2001/08/03,2008/12/07,2013/10/07
AD366VJ,"Ermolao","Ferraro",54,Saab,four,110,"11850",2007/08/01,2013/10/22,2014/03/11
BD171EJ,"Ariele","Ferraro",48,Honda,four,58,"6479",1994/12/12,2011/05/12,2015/07/13
AC202EI,"Ultimo","Ricciardi",51,Volvo,four,114,"13415",1989/10/07,2007/01/09,2009/11/12
ER137IQ,"Genunzia","Messina",44,Mitsubishi,four,145,"14489",2013/03/18,2015/04/13,2015/10/04
BY660MY,"Rolandino","Gargiulo",82,Bmw,six,121,"21105",1996/02/25,2011/09/14,2012/06/03
CN278AZ,"Andreuccio","De Santis",51,Nissan,four,69,"7999",1993/07/23,2007/08/19,2015/09/25
EN328CB,"Esule","Franco",82,Honda,four,86,"9095",1995/04/21,2013/01/28,2013/07/17
AF584VC,"Aurora","Rinaldi",68,Subaru,four,82,"9233",2002/05/08,2010/10/20,2015/12/22
EB136MY,"Italio","Grimaldi",38,Volkswagen,four,88,"12290",2002/06/07,2007/02/26,2012/03/24
BK541TJ,"Melchisedeo","Testa",30,Mercedes-benz,five,123,"28248",2013/05/26,2015/08/22,2016/03/02
EX242UI,"Eustachia","De Rosa",82,Toyota,four,92,"10898",1997/02/03,2013/07/20,2016/03/03
AD872SU,"Giannandrea","Montanari",72,Nissan,six,160,"17199",1992/05/05,2012/10/02,2014/04/26
AR638LH,"Aido","Bruni",31,Mitsubishi,four,68,"6669",1993/04/08,2001/05/23,2015/08/16
BH545YD,"Bibbiana","De Angelis",23,Mercedes-benz,five,123,"31600",2010/11/07,2011/02/07,2015/07/01
BE766UB,"Flavino","Colombo",65,Honda,four,100,"10345",2004/05/13,2008/11/03,2009/12/23
EL401SO,"Irno","Pozzi",62,Toyota,four,112,"9538",1998/06/30,2001/07/07,2004/07/26
CN205YA,"Florinda","Cirillo",26,Mazda,two,101,"10945",1999/10/08,2000/12/04,2002/03/15
AK463MV,"Orentina","Calabrese",30,Alfa-romero,four,111,"16500",1995/10/10,2004/12/12,2007/05/14
CO565UO,"Tarquino","Palumbo",76,Volkswagen,four,90,"9980",2000/05/23,2005/04/01,2012/11/06
BQ121DA,"Consilio","Conti",82,Toyota,four,92,"8948",1998/02/05,2008/05/14,2014/02/07
BO228BF,"Albino","Ferrante",69,Plymouth,four,68,"5572",1997/08/08,2013/07/09,2013/09/10
AS505SJ,"Vitalia","Ruggeri",85,Mitsubishi,four,116,"9279",1989/03/14,2011/01/01,2013/04/02
BV624MS,"Plutarco","Mele",19,Toyota,four,116,"11549",2008/02/05,2009/10/04,2011/09/27
CJ664XJ,"Ornida","Franco",54,Nissan,four,69,"6849",2000/04/17,2012/09/14,2016/04/06
BN571AB,"Ranato","Sartori",69,Toyota,four,116,"11199",2011/08/27,2015/09/16,2015/12/14
